report_start,EUR,CHF,CZK,GBP,HRK,HUF
2015-04-01,1.3726835964,1.4311599176,37.8078242965,1,10.4986959506,409.7735072066
2015-05-01,1.3760836659,1.442961332,37.7459749553,1,10.4190174763,416.6918948672
2015-06-01,1.3903371568,1.4363573166,38.1508515815,1,10.5304136253,429.7671185262
2015-07-01,1.4103377759,1.4747902123,38.4260630421,1,10.7023482124,443.3114730978
2015-08-01,1.420252805,1.5004970885,38.3908535719,1,10.7825592956,437.8639397813
2015-09-01,1.364628821,1.4772106987,36.875,1,10.3056768559,429.1757641921
2015-10-01,1.3574046423,1.4799782815,36.8847563459,1,10.3705714674,424.5961721189
2015-11-01,1.3923698134,1.5176830966,37.7192982456,1,10.5625174046,431.4954051796
2015-12-01,1.4212620807,1.5503126777,38.4067652075,1,10.8534678795,441.3018760659
2016-01-01,1.3624906329,1.4762586007,36.8185843722,1,10.4067034539,430.5197901764
2016-02-01,1.3140604468,1.4580814717,35.5072273325,1,10.0663600526,409.802890933
2016-03-01,1.2853470437,1.3958868895,34.7763496144,1,9.8024421594,398.6503856041
2016-04-01,1.2517211165,1.3701339342,33.8340217799,1,9.4010514457,392.1642258105
2016-05-01,1.2816404998,1.407753925,34.6529958347,1,9.6264017943,400.166613265
2016-06-01,1.2926911244,1.429070038,34.9375630187,1,9.7104371881,406.0472090799
2016-07-01,1.1928903734,1.2924967196,32.3189788858,1,8.9747107241,377.5736609806
2016-08-01,1.1828720132,1.2783297847,31.9718476461,1,8.8543884552,367.8850248403
2016-09-01,1.1897679952,1.3061273052,32.1534800714,1,8.9004164188,368.8875669244
2016-10-01,1.1613997189,1.2631383343,31.3821818055,1,8.7360486859,359.7900189308
2016-11-01,1.1089794063,1.2002484114,29.9690594746,1,8.3262173821,341.2662326861
2016-12-01,1.1890889201,1.2799353136,32.177935266,1,8.9716759019,373.326357345
2017-01-01,1.1679786961,1.2542923217,31.5599523465,1,8.8295685487,361.8748394029
2017-02-01,1.1707134328,1.2503219462,31.6338476668,1,8.7387904189,362.6636072022
2017-03-01,1.1689070719,1.2445353594,31.5850379895,1,8.6738749269,359.9649327878
2017-04-01,1.168866083,1.2502191624,31.5944502238,1,8.7039612872,359.5665844564
2017-05-01,1.1838102115,1.2821848401,31.8705385153,1,8.835959419,369.798633883
2017-06-01,1.146394589,1.2476212312,30.2613779663,1,8.4982230884,352.5736558523
2017-07-01,1.1372294815,1.2429918233,29.7920007278,1,8.427211627,351.3697929105
2017-08-01,1.1180679785,1.2761627907,29.217352415,1,8.283765653,339.4454382826
2017-09-01,1.0860711377,1.2425739886,28.3214770567,1,8.0602769481,331.3494433885
2017-10-01,1.1340697226,1.2993036812,29.464265463,1,8.4998525709,352.3214407222
2017-11-01,1.1443611604,1.3320363907,29.2464381759,1,8.6055959261,356.7545917492
2017-12-01,1.1348805538,1.3267888555,28.9666912557,1,8.5743630483,356.1255177893
2018-01-01,1.1271034568,1.3189364652,28.7805867701,1,8.3856497188,349.7740157569
2018-02-01,1.1425959781,1.3257541133,28.8699725777,1,8.4923446069,354.273308958
2018-03-01,1.1296882061,1.3012878446,28.7324898328,1,8.4139177587,354.473565296
2018-04-01,1.14298777,1.3463252943,29.060464053,1,8.4950280032,356.7607726597
2018-05-01,1.1368804002,1.3606184629,29.0381991814,1,8.4242837653,356.468849477
2018-06-01,1.1405109489,1.3151231752,29.4559762774,1,8.4226733577,364.7810218978
2018-07-01,1.1286044806,1.3056825236,29.3662885842,1,8.3358726934,372.1798995542
2018-08-01,1.1230907457,1.3015498652,28.7398921833,1,8.3131176999,360.9164420485
2018-09-01,1.1143302875,1.2570759973,28.6772899487,1,8.2883886784,363.550256296
2018-10-01,1.1226116437,1.2813489302,28.9240890007,1,8.3443723478,362.6484653899
2018-11-01,1.134134032,1.2963151985,29.3502546131,1,8.4334206617,366.2799269618
2018-12-01,1.1227376836,1.2731845332,29.1429020524,1,8.3144339157,363.3403691562
2019-01-01,1.1179054923,1.2597676992,28.7570008831,1,8.2864744614,358.8253049087
2019-02-01,1.1378117604,1.2966502822,29.2360731841,1,8.4368742035,361.403149463
2019-03-01,1.163223525,1.3217708915,29.8203982877,1,8.645077238,367.6484273218
